time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
31.5,60.96,46.6229906298142,75.6558370643002,64.1072755418447,104.22361753192,14.337009370185804,-14.6958370643002,-3.1472755418446994,-43.26361753192,205.54983768079555,215.9676270204595,9.905343336293846,1871.7406019482555
32,148.88,47.2067366916786,74.4075057872192,65.0505321030173,104.724380925048,101.6732633083214,74.4724942127808,83.82946789698269,44.155619074952,10337.452471763254,5546.15239427267,7027.379687891252,1949.7186958922648
32.5,66.37,47.7228694534541,73.1612815368895,65.9000886237855,105.111992339485,18.647130546545903,-6.7912815368895,0.4699113762144975,-38.741992339484995,347.7154776199253,46.12150491329621,0.22081670149580304,1500.941970432714
33,102.06,48.1719119458309,71.9193894428605,66.6571012593778,105.392499463938,53.8880880541691,30.140610557139496,35.402898740622206,-3.3324994639379923,2903.9260341338827,908.4564047571488,1253.3652392387494,11.105552677147006
33.5,146.6,48.5548223095617,70.6837712132766,67.3233784129994,105.57210164211,98.0451776904383,75.9162287867234,79.27662158700059,41.027898357889995,9612.85686834962,5763.27379319813,6284.782730248488,1683.2884436653526
34,100.2,48.8729200098983,69.4561125888889,67.9013074357721,105.657048127922,51.3270799901017,30.743887411111103,32.298692564227906,-5.457048127921993,2634.4691403102984,945.1866131470758,1043.205541358511,29.779374270456934
34.5,85.09,49.1278646858498,68.2378764323716,68.3937753067917,105.653576610034,35.9621353141502,16.852123567628396,16.696224693208308,-20.56357661003399,1293.2751763532492,283.9940687386164,278.76391900609883,422.860682996737
35,84.13,49.3216092115699,67.0303236178475,68.8040569056587,105.567834921677,34.808390788430096,17.099676382152495,15.325943094341298,-21.43783492167701,1211.6240692800652,292.3989323743438,234.88453173098773,459.5807661290743
35.5,53.82,49.4563518353869,65.8345396332862,69.1357484132116,105.405839675941,4.363648164613103,-12.014539633286198,-15.315748413211601,-51.585839675940996,19.041425304531302,144.34916259980486,234.57214945679368,2661.098855071888
36,47.54,49.5344632234693,64.6514520072474,69.3926809573146,105.173422103519,-1.9944632234693032,-17.1114520072474,-21.852680957314597,-57.633422103519,3.9778835497715637,292.8017897963311,477.53966502218003,3321.6113433623927
36.5,112.72,49.5584707834784,63.4818493829629,69.5788448731876,104.876203556894,63.1615292165216,49.2381506170371,43.14115512681239,7.843796443106001,3989.378772969512,2424.395476186031,1861.1592656756911,61.52514264088235
37,61.12,49.5310201866441,62.3263980766082,69.6983324205418,104.519561628768,11.588979813355898,-1.2063980766082025,-8.578332420541805,-43.399561628768005,134.30445311437052,1.4553963192439705,73.58778711731863,1883.5219495692322
37.5,85.87,49.4548319623779,61.1856542264628,69.7552691405539,104.108619106716,36.4151680376221,24.684345773537203,16.114730859446098,-18.238619106716,1326.0644632082544,609.316926267544,259.6845506723844,332.647226919866
